Timestamp,Building_ID,Energy_Consumption (kWh),Temperature (°C),Humidity (%),Solar_Radiation (W/m²),Wind_Speed (m/s),Renewable_Generation (kWh),Grid_Price (cents/kWh),Demand_Response_Alert,Appliance_Usage_Index
01-02-2024 00:00,House_1,1.2284157905370197,28.812673401659712,61.86118125368263,0,3.196036682342044,0,15.09558860351845,0,0.9506657991256325
01-02-2024 01:00,House_1,2.1468850767000447,30.690656076301174,58.28884312259284,0,4.709489983713633,0,19.50928528466494,0,0.16633019140203442
01-02-2024 02:00,House_1,3.669820041808446,15.22269200986151,48.26060490707687,0,1.7373680556304145,0,8.627343557834156,0,0.958115953
01-02-2024 03:00,House_1,1.254562871351981,33.441679168844715,79.04360995,0,1.2872348481521296,0,17.70320849464125,0,0.8016862996471977
01-02-2024 04:00,House_1,0.8244049177555792,24.86972840728651,55.193187557242226,0,4.753372394239265,0,16.74917111231843,0,0.46419490769156746
01-02-2024 05:00,House_1,4.715741903442996,18.867678622943586,72.85791436,0,2.6234924722714745,0,14.33450965401504,0,0.44893264281113265
01-02-2024 06:00,House_1,3.686876188080988,19.53086040553069,60.64056029654623,126.88922852150758,4.5451218891271346,0.6344461426075378,14.944456163732049,0,0.33286867707934154
01-02-2024 07:00,House_1,2.1943132449579803,21.667043379720255,53.45478373327887,223.07529751577687,2.615877489529976,1.1153764875788843,18.44859343201034,0,0.07137903
01-02-2024 08:00,House_1,1.8049080076367603,33.94353197785276,47.055446726458534,289.4129712780067,1.524832145418598,1.4470648563900335,17.038414126828208,0,0.33975129932167136
01-02-2024 09:00,House_1,4.720547468079424,29.744504320630455,64.68137127685054,307.1928535189003,4.2668613754912625,1.5359642675945013,14.902062411825659,0,0.9429941188338098
01-02-2024 10:00,House_1,2.668729303326195,34.192047257556055,67.88046282543979,423.81415056921554,1.5542949980013088,2.1190707528460777,8.769975106994092,0,0.6008246952046713
01-02-2024 11:00,House_1,4.482202223631823,21.363169065840236,69.62429702,390.9657997516321,2.4033614633474736,1.9548289987581606,16.788023492376187,0,0.3150852798076633
01-02-2024 12:00,House_1,2.5777807867592455,21.443922523181126,72.40267504561842,105.02613080371914,2.3007057076825155,0.5251306540185957,15.223586180327018,0,0.6128869989247415
